coupon_id,coupon_code,coupon_description,discount_type,discount_value,start_date,end_date,minimum_purchase,maximum_discount,usage_limit,usage_count,created_at,updated_at
76453,X0S6-N7CM,Moment understand red avoid themselves century lawyer number available accept price hear black free show production already.,Percentage,50.78,03/07/2023,12/24/2023,401.26,84.11,958,803,2021-02-18T05:51:00,2020-01-20T07:25:17
76454,W9ZU-RAAI,Course hospital money hotel news look rather pay whatever information well some his each however.,Fixed Amount,95.11,11/03/2022,07/11/2023,472.69,25.77,653,634,2022-11-25T02:03:05,2021-09-19T17:29:11
76455,8C4Q-VTWK,Election some before director out speech bit position popular seat down successful music face.,Fixed Amount,8.53,01/12/2023,04/24/2023,306.51,44.9,357,905,2023-01-05T12:32:47,2020-08-01T05:27:24
76456,V3W8-1TGD,She whole house front moment old recognize us find might carry like.,Fixed Amount,86.33,07/07/2023,12/23/2023,211.95,9.62,826,273,2020-12-09T11:20:29,2022-11-12T07:33:06
76457,2V6P-2Z6Y,Agreement eye sister stay like wind start full officer Mrs enough forward possible though.,Fixed Amount,80.51,09/19/2022,07/22/2023,335.04,14.05,348,341,2022-05-15T04:05:46,2020-06-05T22:09:03
76458,C8EB-NB5J,Effort agreement only sure education some while meeting option charge direction effect family manage shake tonight.,Fixed Amount,83.45,06/29/2023,03/08/2024,462.8,61.87,98,567,2020-09-03T14:04:01,2022-09-08T22:58:11
76459,H843-ANVY,Life partner relationship whole draw so vote our increase describe relate return debate style effort how guy news ball federal.,Percentage,55.02,04/03/2023,11/11/2023,298.74,54.75,650,831,2022-01-08T14:36:36,2021-09-14T06:35:45
76460,WO1Z-QAUB,Word reduce participant exist arrive worker far value nice.,Fixed Amount,23.29,01/17/2023,11/23/2023,362.8,16.37,443,79,2020-12-14T19:26:39,2020-06-13T23:15:39
76461,VOHI-WJHW,Mission its light hot hope purpose east recognize reality turn he morning cell surface everything son will learn.,Percentage,32.93,09/02/2022,12/25/2022,473.65,45.53,963,532,2020-03-06T05:57:10,2023-02-04T04:58:47
76462,W35K-WQFV,Amount least between art dog at half we future talk beautiful sport theory.,Percentage,99.58,08/04/2022,02/27/2023,152.56,92.8,479,698,2021-04-19T20:30:43,2020-03-06T06:59:02
76463,P9YX-YPG7,Because city only rate especially get statement window blue system store law your majority claim store across.,Fixed Amount,76.33,01/22/2023,10/16/2023,47.88,38.3,613,844,2021-10-23T16:25:57,2020-03-29T06:08:18
76464,E8KL-I9YG,Share energy next attention its window save appear hundred seek assume from magazine.,Percentage,53.53,03/26/2023,07/24/2023,75.02,29,7,952,2022-12-12T15:34:25,2021-11-19T20:19:15
76465,OWD2-9B70,Push environment ok nation crime tax save require accept protect Mrs window throughout protect yourself change add.,Percentage,67.08,09/18/2022,09/16/2023,274.02,64.2,539,619,2023-07-20T02:15:09,2020-03-17T02:45:33
76466,78J6-LN8P,Image bad beat size environmental again idea history raise carry federal brother they visit make.,Percentage,76.57,04/05/2023,12/25/2023,76.71,82.3,246,824,2023-06-09T02:19:39,2021-02-17T17:20:23
76467,XQJ1-0EZA,Game list adult keep born politics sit individual section find road teach will challenge pull hot election room.,Fixed Amount,49.75,12/27/2022,06/04/2023,289.58,70.51,784,980,2020-03-07T22:56:55,2020-11-04T00:09:01
76468,0K22-9VYX,Interest time decade soldier week including role side these protect.,Fixed Amount,3.39,12/12/2022,06/02/2023,457.18,38.36,221,333,2022-12-16T09:00:04,2020-01-11T05:39:52
76469,P1QY-DMAN,Challenge great himself draw for bad response cell street enough Republican within page.,Fixed Amount,79.48,02/07/2023,09/17/2023,198.47,64.34,323,243,2022-09-28T02:09:44,2020-03-13T10:20:07
76470,FC24-AD8V,Rather produce room political action even list and market big build again heavy school.,Fixed Amount,29.83,03/18/2023,11/26/2023,212.32,98.77,24,267,2022-07-10T13:10:12,2020-12-12T00:21:21
76471,S6ZT-PW1D,Tonight be involve few husband agreement consumer force kitchen mind economic consider degree various forward long media argue power education.,Fixed Amount,38.64,05/27/2023,11/12/2023,306.17,91.09,543,6,2021-11-13T19:02:16,2022-12-21T17:28:39
76472,DCG5-2F9P,Deal ready clear because sport executive color bring raise yes hard almost admit garden each travel every throw.,Fixed Amount,71.19,10/19/2022,01/30/2023,490.54,21,374,961,2022-07-29T18:59:49,2021-10-02T10:59:29
76473,WMKH-NULD,Nothing firm reduce grow six very whose five all over with already current must throughout.,Fixed Amount,52.03,05/31/2023,05/29/2024,157.03,9.73,500,226,2020-05-22T03:20:22,2023-03-18T02:00:38
76474,WQ2X-QZGQ,Decade dinner seem suddenly possible shoulder allow site receive international those from.,Percentage,34.85,09/17/2022,04/21/2023,364.89,72.76,762,701,2022-01-17T02:14:22,2020-02-29T06:20:14
76475,G94Z-AZGH,Forget man camera point key future nature performance describe Mrs Mrs through.,Percentage,5.79,04/07/2023,03/26/2024,89.92,84.11,282,752,2023-07-26T20:25:12,2022-09-27T22:49:06
76476,1BYE-S95C,Particularly position next reason thing drive skill hotel seat general kitchen.,Percentage,75.94,01/07/2023,03/02/2023,457.5,53.07,893,781,2021-06-15T10:16:38,2022-02-10T17:02:25
76477,ZOPH-PHVL,Media he general positive but per military official manager security teacher decide sell main walk last already Republican old worry.,Fixed Amount,61.72,07/27/2023,07/14/2024,266.12,26.21,53,373,2020-05-30T19:04:39,2020-03-25T22:34:51
76478,C0QW-1AZ9,Still recently weight process study job billion under personal west ago audience color just property picture case story assume.,Fixed Amount,93,10/07/2022,08/03/2023,294.15,41.24,392,650,2020-11-06T11:31:00,2022-03-03T17:33:41
76479,P93W-OVJX,Letter create training break source information eight condition mother first.,Fixed Amount,33.26,10/23/2022,08/04/2023,337.1,57.74,130,65,2023-07-20T11:12:34,2023-05-19T21:21:43
76480,VD8U-6E0E,Allow kind send end well history meet quite behind interview be drug surface shoulder that by environmental increase wrong.,Fixed Amount,21.4,03/09/2023,12/11/2023,491.61,38.04,259,311,2020-08-06T15:26:16,2022-09-01T19:01:52
76481,L0VF-FR5W,Example expert quickly this performance at line for customer agreement painting night plan sit politics structure total before decision.,Percentage,35.48,07/01/2023,04/27/2024,369.95,46.04,647,726,2021-10-07T22:54:08,2022-01-30T16:39:23
76482,6YXF-UJWL,We while method sea adult item follow politics artist style paper mission sign special spring herself arm Congress behind body.,Fixed Amount,55.48,05/11/2023,08/11/2023,280.93,32.73,875,4,2020-11-16T06:34:47,2022-03-13T07:13:11
