orderitems_id,product_id,order_id,price,quantity,shipping_id
4567890,10579,34514313,264.5,54,7759
4567891,10092,34513409,957.92,38,11113
4567892,10005,34521427,839.33,27,8206
4567893,11237,34530205,724.93,68,6704
4567894,10067,34525287,66.76,90,12093
4567895,10781,34531318,896.1,97,10044
4567896,10486,34520462,517.18,65,16482
4567897,10628,34515038,520.32,74,16278
4567898,11453,34518382,687.21,67,12343
4567899,11277,34519217,289.32,42,8987
4567900,10499,34527265,787.23,45,25414
4567901,11141,34516487,737.85,99,12783
4567902,10002,34518251,334.18,19,14594
4567903,11235,34518461,280.67,95,19794
4567904,10553,34520954,821.72,47,16458
4567905,11244,34524676,528.11,6,23927
4567906,11135,34532026,374.79,100,8440
4567907,9933,34519102,686.47,51,18216
4567908,11133,34512482,953.75,73,18030
4567909,11494,34524647,163.28,97,7001
4567910,10228,34525868,627.95,100,15212
4567911,10592,34513020,481.69,43,12049
4567912,10093,34523026,239.66,9,21736
4567913,11149,34514659,468.58,42,17648
4567914,10450,34514456,868.92,53,6362
4567915,10642,34522648,392.65,74,17530
4567916,11273,34528251,646.27,3,17806
4567917,11619,34530852,249.9,29,8150
4567918,10834,34515395,884.01,43,22877
4567919,10885,34513449,487.38,31,11263
4567920,11875,34523260,243.74,36,15891
4567921,11216,34531978,207.13,76,17697
4567922,10650,34516718,161.02,56,14289
4567923,11403,34520004,441.07,7,14018
4567924,11025,34513949,353.46,24,19850
4567925,11717,34519921,749.31,21,16154
4567926,10120,34530894,649.04,51,21229
4567927,11835,34521430,447,51,15137
4567928,10087,34512517,250.91,84,22512
4567929,10103,34514205,464.13,27,12033
4567930,11429,34530251,769.79,3,6333
4567931,11377,34519388,966.4,3,24773
4567932,11859,34514615,439.38,30,7424
4567933,9998,34514999,313.7,30,8507
4567934,10450,34513867,288.84,34,25566
4567935,11715,34512619,45.65,51,18389
4567936,9887,34522612,575.89,10,9990
4567937,11266,34513352,338.99,93,17947
4567938,11674,34522930,599.15,23,17583
4567939,10470,34518332,490.83,61,7139
4567940,10714,34522983,38.25,36,16565
4567941,10218,34524196,754.82,37,16755
4567942,10952,34530076,805.28,83,6712
4567943,10540,34522384,755.75,55,8803
4567944,10193,34519525,110.36,64,7175
4567945,10906,34516045,699.54,7,24982
4567946,10250,34529079,107.36,51,25575
4567947,11708,34531086,705.46,76,16680
4567948,10297,34527538,577.06,83,13786
4567949,10508,34527831,726.94,82,20693
4567950,10372,34521781,247.35,89,19506
4567951,9940,34518839,355.84,58,18910
4567952,11757,34517955,655.58,45,9366
4567953,9928,34515252,87.02,31,21683
4567954,10655,34524039,910.58,32,15693
4567955,11618,34525232,637.06,39,18666
4567956,10802,34524596,602.03,11,7268
4567957,11030,34514807,573.76,66,19177
4567958,10630,34520741,997.79,65,11569
4567959,10427,34514205,417.15,79,12033
4567960,11277,34528242,313.01,58,20889
4567961,11717,34517789,169.76,53,19088
4567962,9920,34520960,575.83,25,7278
4567963,11213,34523597,926.55,80,6610
4567964,10864,34524431,591.44,33,6168
4567965,11476,34520137,535.28,28,17836
4567966,9903,34524358,689.76,62,9046
4567967,10901,34520882,715.81,51,8284
4567968,11282,34517265,645.1,17,18257
4567969,10361,34514421,485.69,32,21248
4567970,11828,34525238,447.57,21,12005
4567971,10412,34525316,442.11,11,13354
4567972,10294,34520447,561.09,52,22123
4567973,11623,34528524,603.35,82,9167
4567974,11686,34523916,645.46,41,11309
4567975,11711,34513985,591.78,10,23148
4567976,10215,34514278,515.06,54,13503
4567977,9937,34531698,255.34,21,22620
4567978,10571,34514837,504.78,34,10518
4567979,10665,34531795,118.57,86,14235
4567980,10747,34517333,528.18,15,14385
4567981,11552,34523909,902.47,10,15504
4567982,10140,34520923,386.28,2,19626
4567983,11053,34525715,886.56,11,9818
4567984,11441,34522267,190.96,97,8525
4567985,10961,34527117,480.55,11,17400
4567986,10854,34517353,511.56,10,25494
4567987,10274,34531246,141.25,78,10368
4567988,11605,34521583,123.25,29,22941
4567989,10442,34522208,328.62,83,24894
4567990,10149,34522805,276.56,87,23486
4567991,11391,34518965,624.65,77,10164
4567992,10585,34519909,360.31,23,12012
4567993,11789,34517632,874.29,78,23456
4567994,10949,34513336,107.09,82,20218
4567995,11160,34519973,711.22,64,11433
4567996,10618,34527312,537.15,97,19157
4567997,11852,34523001,32.43,2,6570
4567998,10623,34516187,697.59,54,9995
4567999,11052,34514770,229.02,3,23189
4568000,9919,34513899,861.2,93,5805
4568001,11293,34518748,234.32,68,8699
4568002,11610,34519031,795.04,39,22980
4568003,10786,34526784,842.71,7,13963
4568004,10572,34512532,577.49,47,17091
4568005,11420,34522828,791.26,13,6612
4568006,11414,34512810,608.84,38,13577
4568007,11858,34520917,901.6,1,22131
4568008,11498,34525193,812.32,61,16872
4568009,11603,34512871,880.73,92,19815
4568010,11113,34520365,608.23,80,20475
4568011,11510,34514059,805.79,66,7862
4568012,11492,34528302,885.88,30,14560
4568013,11099,34514081,429.52,56,16087
4568014,10000,34523727,279.2,28,6817
4568015,10472,34525266,845.65,95,24920
4568016,10101,34515095,744.4,25,9313
4568017,10990,34525677,379.56,21,13833
4568018,11446,34530839,612.88,96,9135
4568019,10327,34529515,47.24,63,17480
4568020,10335,34519924,175.78,75,22640
4568021,10726,34525740,971.12,87,19256
4568022,11054,34523675,420.66,40,20427
4568023,10934,34526484,455.1,73,7356
4568024,9920,34521450,905.02,18,9718
4568025,11551,34515108,40.48,68,20287
4568026,11663,34532030,612.22,97,6877
4568027,11306,34527020,254.37,50,20896
4568028,10810,34517922,837.59,73,20739
4568029,10284,34516978,226.13,56,17137
4568030,10672,34530947,79.65,46,15196
4568031,11061,34513087,552.86,33,21381
4568032,10205,34527327,322.99,69,15323
4568033,11537,34531231,313.19,33,21631
4568034,11588,34520506,749.75,2,15754
4568035,11195,34518378,217.21,89,20915
4568036,11793,34522088,308.27,62,6404
4568037,10534,34518180,863.85,15,8999
4568038,10107,34515745,917.24,82,16458
4568039,11289,34524567,473.3,40,17267
4568040,10469,34513721,209.45,10,16079
4568041,11716,34520275,365.22,86,9102
4568042,10744,34528919,753.9,40,17971
4568043,10809,34522512,482.07,1,8025
4568044,10829,34529582,381.15,96,25065
4568045,10195,34519330,611.78,79,6143
4568046,10387,34516780,820.94,79,24850
4568047,10277,34523200,407.79,96,14187
4568048,11438,34513012,298.41,38,19804
4568049,10761,34528096,142.83,58,14269
4568050,10188,34527196,860.27,84,13135
4568051,11569,34521679,331.52,72,19366
4568052,11125,34527128,785.36,5,7611
4568053,10634,34524176,685.9,3,18966
4568054,11130,34523011,543.21,32,24710
4568055,11732,34524891,72.51,71,15641
4568056,10139,34518492,356.61,79,13260
4568057,11186,34532271,677.31,82,7142
4568058,10476,34524176,236.29,7,18966
4568059,10513,34528616,727.75,1,24817
4568060,11825,34531556,133.1,10,19727
4568061,10660,34523173,439.6,13,19255
4568062,11575,34527145,708.78,39,16919
4568063,11187,34515379,665.09,77,17701
4568064,11728,34521335,437.76,45,16320
4568065,10641,34514602,40.46,25,8826
4568066,10714,34513057,586.99,92,9776
4568067,10761,34520726,874.34,18,6580
4568068,11470,34527552,883.99,25,12546
4568069,10947,34520849,523.4,15,8832
4568070,10895,34530487,409.34,11,16251
4568071,10198,34522249,326.75,35,22245
4568072,10973,34513651,634.45,77,10899
4568073,11494,34527023,962.56,53,14914
4568074,11634,34530769,677,4,20201
4568075,11803,34514398,314.3,100,6599
4568076,10389,34516209,989.33,58,11612
4568077,10462,34520526,410.22,91,22940
4568078,11137,34517211,13.07,6,15410
4568079,10531,34531153,373.5,57,22953
4568080,10839,34522835,854.66,72,6957
4568081,10440,34521040,28.55,15,12067
4568082,10682,34518772,723.91,56,14932
4568083,11159,34528356,838.52,97,22394
4568084,11587,34514264,943.99,55,23651
4568085,10073,34529869,763.91,90,16578
4568086,11268,34522173,193.91,83,14164
4568087,11129,34525037,865.27,32,8191
4568088,10619,34515243,970.27,2,22155
4568089,11187,34512752,642.42,95,25260
4568090,11644,34531218,634.61,45,12731
4568091,10142,34514329,622.58,42,22564
4568092,10418,34519370,999.7,21,19685
4568093,11872,34523053,128.23,12,24434
4568094,11094,34517724,535.96,62,13563
4568095,11165,34527606,379.56,17,17354
4568096,10505,34527500,101.75,43,25192
4568097,11101,34530887,888.02,37,16582
4568098,11266,34528305,263.17,41,14745
4568099,11262,34517046,827.78,9,24192
4568100,11280,34515257,260.63,74,12311
4568101,10943,34515872,973.17,24,14856
4568102,9963,34517273,209.76,56,7784
4568103,10269,34529294,62.89,85,12222
4568104,11869,34529455,10.55,67,22690
4568105,11027,34526535,769.85,15,24537
4568106,10446,34523905,942.49,28,24948
4568107,10588,34523851,690.22,49,10607
4568108,10369,34524312,851.79,60,17412
4568109,10204,34517310,618.97,91,13769
4568110,10185,34521263,799.9,23,6515
4568111,11306,34517553,879.19,42,7477
4568112,10684,34518656,475.83,63,16633
4568113,11408,34528983,835.53,54,10247
4568114,11275,34531580,141.04,18,13900
4568115,10405,34526340,531.08,90,9261
4568116,11167,34521414,296.06,35,20203
4568117,10366,34518290,909.21,44,20501
4568118,10422,34518003,349.46,67,6858
4568119,10662,34519694,876.09,75,25347
4568120,9988,34522606,694.25,70,19765
