product_id,product_name,product_description,regular_price,discount_price,quantity,category_id,published,product_weight,img_link,product_note,created_at
9877,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Than site detail back along population already various national list study water number management hot recognize east hope.,92.41,235.29,632,4,FALSE,1.16,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg,Despite painting represent really tell behind analysis safe main inside collection college.,2022-01-01T21:25:33
9878,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Cold president water describe collection owner write over end huge foreign fact material factor follow future item special.,383.23,494.34,570,4,TRUE,2.88,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg,Throughout dog safe lot actually beyond bring help toward.,2021-09-25T00:31:19
9879,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Official cold central civil amount analysis offer turn front course federal dream already source stock government particular.,71.52,154.45,809,2,FALSE,4.02,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg,Indeed culture use almost threat career kitchen character real rather answer.,2021-12-05T19:14:58
9880,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Radio worker great relate red wear my station nice condition quality message clearly.,432.49,134.21,295,4,FALSE,7.12,https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg,Name why third argue offer financial amount may establish.,2020-04-08T05:55:01
9881,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Hotel their leave somebody everyone budget the item look.,244.86,88.39,732,1,FALSE,4.17,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg,Work explain old page benefit space card still she.,2020-09-11T10:30:53
9882,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Common property none box director forget might accept baby film somebody trade offer firm.,955.37,16.22,256,1,TRUE,7.07,https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,Article price meet be understand skill case truth which.,2022-12-23T00:52:11
9883,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Situation night beautiful take oil soon collection trip late but own.,770.25,310.29,890,1,FALSE,6.17,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg,Director listen suddenly perhaps road discussion.,2021-08-12T12:57:12
9884,MI Usb Type-C Cable Smartphone (Black),Approach describe pick growth step adult table old exactly modern mission begin.,884.95,333.37,179,1,TRUE,1.83,https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg,Name still window mouth short suddenly prevent spring.,2021-09-09T23:11:42
9885,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Able list rather be guess happy with fight represent southern style someone fear ok street each.,823.95,186.45,115,2,TRUE,7.05,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg,Century although everybody speech go understand during conference she fast give program reduce.,2022-09-04T06:10:27
9886,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",True against son across TV the expect sea risk message hundred own let generation message cultural wife politics bill whatever skill.,147.28,274.46,41,1,TRUE,3.77,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg,Well guess past class agency picture whom nothing smile note.,2022-12-28T05:36:04
9887,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),See trouble change us sense describe that beautiful century improve gas top drive music member.,863.2,221.64,694,2,FALSE,9.38,https://m.media-amazon.com/images/I/31dJ+lXJq3L._SY300_SX300_.jpg,Number little institution sister board often those.,2020-03-26T00:20:49
9888,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Congress direction box special white lot city help interest conference report.,887.69,299.98,387,3,FALSE,7.64,https://m.media-amazon.com/images/I/41SDfuK7L2L._SX300_SY300_QL70_FMwebp_.jpg,Official vote than free board impact nice standard.,2021-03-11T06:28:35
